Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HMY,Harmony Gold Mining Company Limited,$3.54,0.04,1.143%,2159792002.00,South Africa,,2163495,Basic Industries,Precious Metals
HUDI,Huadi International Group Co. Ltd. Ordinary Shares,$4.2973,-0.0226,-0.523%,56402063.00,China,2021,235750,Basic Industries,Steel/Iron Ore
HUN,Huntsman Corporation Common Stock,$31.985,0.035,0.11%,7098427820.00,United States,2005,782318,Basic Industries,Major Chemicals
HURC,Hurco Companies Inc. Common Stock,$32.89,0.30,0.921%,217120243.00,United States,,66705,Basic Industries,Steel/Iron Ore
HWKN,Hawkins Inc. Common Stock,$36.725,-0.325,-0.877%,779025757.00,United States,,7135,Basic Industries,Industrial Specialties
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$1.49,-0.03,-1.974%,74738463.00,United States,2018,86185,Basic Industries,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.2763,-0.0237,-7.90%,0.00,United States,,9926,Basic Industries,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.2776,-0.0102,-3.544%,0.00,United States,2018,26440,Basic Industries,Precious Metals
HYMCZ,Hycroft Mining Holding Corporation Warrant,$0.325,-0.014,-4.13%,0.00,United States,,1242,Basic Industries,Precious Metals
ICL,ICL Group Ltd. Ordinary Shares,$8.21,0.28,3.531%,10542880917.00,Israel,2014,301865,Basic Industries,Agricultural Chemicals
IEA,Infrastructure and Energy Alternatives Inc. Common Stock,$10.31,-0.14,-1.34%,457085313.00,United States,2016,347407,Basic Industries,Water Supply
IEAWW,Infrastructure and Energy Alternatives Inc. Warrant,$0.8909,-0.0866,-8.859%,0.00,United States,2016,166385,Basic Industries,Water Supply
IFF,International Flavors & Fragrances Inc. Common Stock,$139.30,1.26,0.913%,35455296561.00,United States,,570248,Basic Industries,Major Chemicals
IOSP,Innospec Inc. Common Stock,$85.00,-0.16,-0.188%,2094561840.00,United States,,22668,Basic Industries,Industrial Specialties
IP,International Paper Company Common Stock,$55.815,1.425,2.62%,21814433980.00,United States,,1177541,Basic Industries,Containers/Packaging
IPI,Intrepid Potash Inc Common Stock,$36.99,1.95,5.565%,497661980.00,United States,2008,128760,Basic Industries,Major Chemicals
ITP,IT Tech Packaging Inc. Common Stock,$0.3626,-0.0006,-0.165%,35915494.00,China,,528263,Basic Industries,Paper
