Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
RCKY,Rocky Brands Inc. Common Stock,$49.68,0.31,0.628%,362114291.00,United States,1993,1053,Consumer Non-Durables,Shoe Manufacturing
REED,Reeds Inc. Common Stock,$0.6297,0.0051,0.817%,58982648.00,United States,,67450,Consumer Non-Durables,Beverages (Production/Distribution)
REV,Revlon Inc. New Common Stock,$10.12,0.03,0.297%,542965901.00,United States,1996,4951,Consumer Non-Durables,Package Goods/Cosmetics
RIBT,RiceBran Technologies Common Stock,$0.5429,-0.0096,-1.738%,25105055.00,United States,,53919,Consumer Non-Durables,Specialty Foods
RL,Ralph Lauren Corporation Common Stock,$113.27,0.02,0.018%,8326404301.00,United States,1997,135806,Consumer Non-Durables,Apparel
RLX,RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share,$5.09,0.23,4.733%,7995324001.00,,2021,1296287,Consumer Non-Durables,Farming/Seeds/Milling
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,$7.50,0.00,0.00%,45932160.00,United States,,1337,Consumer Non-Durables,Specialty Foods
SAM,Boston Beer Company Inc. (The) Common Stock,$541.49,3.68,0.684%,6650469175.00,United States,,41011,Consumer Non-Durables,Beverages (Production/Distribution)
SBEV,Splash Beverage Group Inc. Common Stock,$2.00,0.05,2.564%,60963832.00,,2021,2584,Consumer Non-Durables,Beverages (Production/Distribution)
SCL,Stepan Company Common Stock,$119.56,0.87,0.733%,2686018341.00,United States,,2576,Consumer Non-Durables,Package Goods/Cosmetics
SENEA,Seneca Foods Corp. Class A Common Stock,$53.26,0.14,0.264%,473545685.00,United States,,922,Consumer Non-Durables,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$51.25,0.00,0.00%,455674359.00,United States,,41,Consumer Non-Durables,Packaged Foods
SFM,Sprouts Farmers Market Inc. Common Stock,$22.52,0.19,0.851%,2571585734.00,United States,2013,277348,Consumer Non-Durables,Specialty Foods
SGOC,SGOCO Group Ltd Ordinary Shares (Cayman Islands),$5.82,0.10,1.748%,591300348.00,China,2010,65326,Consumer Non-Durables,Consumer Electronics/Appliances
SHOO,Steven Madden Ltd. Common Stock,$42.26,0.66,1.587%,3463048229.00,United States,1993,132319,Consumer Non-Durables,Shoe Manufacturing
SJM,J.M. Smucker Company (The) New Common Stock,$122.49,0.86,0.707%,13272835237.00,United States,,33523,Consumer Non-Durables,Packaged Foods
SKIN,The Beauty Health Company Class A Common Stock,$24.88,-0.30,-1.191%,3319468502.00,United States,2020,948735,Consumer Non-Durables,Package Goods/Cosmetics
